,SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,NORMALIZED_PLAYER_NAME
0,2002,2403,Nene,,Nene ,PF,81.25,6' 9.25'',,,253.0,88.5,7' 4.5'',109.0,9' 1'',,,,30.0,34.0,10.73,,3.19,16.0,nene-
1,2007,12204,Mohamed,Abukar,Mohamed Abukar,SF,80.0,6' 8'',81.75,6' 9.75'',210.0,81.0,6' 9'',103.0,8' 7'',8.9,,,30.5,35.0,11.78,,3.37,15.0,mohamed-abukar
2,2020,1630173,Precious,Achiuwa,Precious Achiuwa,PF,79.5,6'7.50'',80.7,6'8.75'',234.0,84.75,7'0.75'',108.5,9'0.50'',6.7,9.0,10.0,,,,,,,precious-achiuwa
3,2005,101165,Alex,Acker,Alex Acker,SG,75.75,6' 3.75'',76.75,6' 4.75'',183.0,84.0,7' 0'',102.5,8' 6.5'',,,,28.0,32.0,11.67,,3.35,11.0,alex-acker
4,2012,203112,Quincy,Acy,Quincy Acy,PF,78.5,6' 6.5'',79.75,6' 7.75'',223.8,86.75,7' 2.75'',106.5,8' 10.5'',7.1,9.5,11.0,32.0,37.0,10.48,,3.28,13.0,quincy-acy
5,2013,203500,Steven,Adams,Steven Adams,C,82.75,6' 10.75'',84.0,7' 0'',254.5,88.5,7' 4.5'',109.5,9' 1.5'',6.65,9.5,11.0,28.5,33.0,11.85,3.02,3.4,16.0,steven-adams
6,2014,203919,Jordan,Adams,Jordan Adams,SG,75.5,6' 3.5'',76.75,6' 4.75'',208.8,82.0,6' 10'',102.0,8' 6'',10.8,8.5,7.5,24.5,29.5,12.13,3.05,3.5,,jordan-adams
7,2017,1628389,Edrice,Adebayo,Edrice Adebayo,PF-C,80.75,6' 8.75'',75.75,6' 9.75'',242.6,86.75,7' 2.75'',108.0,9' 0'',5.2,9.5,8.75,33.5,38.5,11.94,3.24,3.24,12.0,edrice-adebayo
8,2006,12123,Kenny,Adeleke,Kenny Adeleke,PF-C,78.5,6' 6.5'',79.75,6' 7.75'',250.0,82.25,6' 10.25'',104.0,8' 8'',10.5,,,28.5,30.5,11.57,,3.47,26.0,kenny-adeleke
9,2009,202399,Jeff,Adrien,Jeff Adrien,PF,77.25,6' 5.25'',78.5,6' 6.5'',236.2,86.0,7' 2'',107.5,8' 11.5'',7.9,,,27.5,31.5,11.34,,3.32,16.0,jeff-adrien
10,2006,200772,Maurice,Ager,Maurice Ager,SG-PG,75.25,6' 3.25'',76.5,6' 4.5'',203.0,79.75,6' 7.75'',101.5,8' 5.5'',8.0,,,29.5,35.0,11.73,,3.22,11.0,maurice-ager
11,2005,101224,Deji,Akindele,Deji Akindele,C-PF,81.5,6' 9.5'',83.0,6' 11'',236.4,87.0,7' 3'',108.5,9' 0.5'',,,,30.5,32.5,12.58,,3.35,13.0,deji-akindele
13,2010,202374,Solomon,Alabi,Solomon Alabi,C,83.5,6' 11.5'',84.75,7' 0.75'',237.4,89.0,7' 5'',113.0,9' 5'',5.0,9.25,9.25,22.5,26.0,13.2,,3.68,10.0,solomon-alabi
14,2010,202332,Cole,Aldrich,Cole Aldrich,C,81.0,6' 9'',83.25,6' 11.25'',236.0,88.75,7' 4.75'',111.5,9' 3.5'',8.5,9.0,9.25,23.0,28.0,11.48,,3.35,10.0,cole-aldrich
15,2006,200746,LaMarcus,Aldridge,LaMarcus Aldridge,PF-C,82.0,6' 10'',83.25,6' 11.25'',234.0,88.75,7' 4.75'',110.0,9' 2'',8.7,,,26.5,34.0,12.02,,3.43,8.0,lamarcus-aldridge
16,2005,12104,Nemanja,Aleksandrov,Nemanja Aleksandrov,PF-SF,82.0,6' 10'',84.0,7' 0'',220.6,83.0,6' 11'',110.0,9' 2'',,,,,,,,,5.0,nemanja-aleksandrov
17,2008,201570,Joe,Alexander,Joe Alexander,SF-PF,79.25,6' 7.25'',80.25,6' 8.25'',220.0,83.5,6' 11.5'',106.0,8' 10'',5.8,,,32.5,38.5,11.33,,2.99,24.0,joe-alexander
18,2015,1626146,Cliff,Alexander,Cliff Alexander,PF-C,79.25,6' 7.25'',80.5,6' 8.5'',239.2,87.5,7' 3.5'',109.5,9' 1.5'',5.8,9.5,10.25,,,,,,,cliff-alexander
19,2020,1630234,Ty-Shon,Alexander,Ty-Shon Alexander,SG,74.0,6'2.00'',76.0,6'4.00'',200.8,80.0,6'8.00'',100.0,8'4.00'',12.3,8.75,8.75,28.0,33.0,11.33,2.47,3.26,,ty-shon-alexander
20,2019,1629638,Nickeil,Alexander-Walker,Nickeil Alexander-Walker,SG,76.25,6' 4.25'',77.5,6' 5.5'',203.8,81.5,6' 9.5'',102.0,8' 6'',5.9,8.5,8.75,,,,,,,nickeil-alexander-walker
21,2018,1628959,Rawle,Alkins,Rawle Alkins,SG,74.75,6' 2.75'',76.25,6' 4.25'',217.4,80.75,6' 8.75'',99.0,8' 3'',8.9,8.5,10.0,32.5,40.5,11.5,3.09,3.15,10.0,rawle-alkins
22,2017,1628959,Rawle,Alkins,Rawle Alkins,SG-SF,74.5,6' 2.5'',75.75,6' 3.75'',222.6,80.75,6' 8.75'',99.0,8' 3'',11.0,8.75,10.0,31.5,40.5,11.99,3.18,3.3,7.0,rawle-alkins
23,2000,2124,Malik,Allen,Malik Allen,PF-C,80.25,6' 8.25'',,,271.0,86.5,7' 2.5'',109.0,9' 1'',,,,25.5,29.0,11.83,,3.38,13.0,malik-allen
24,2004,2754,Tony,Allen,Tony Allen,SG,75.5,6' 3.5'',76.25,6' 4.25'',214.0,81.0,6' 9'',102.0,8' 6'',6.7,,,31.5,36.5,10.7,,3.19,17.0,tony-allen
25,2018,1628960,Grayson,Allen,Grayson Allen,SG,75.0,6' 3'',76.5,6' 4.5'',198.0,79.25,6' 7.25'',97.0,8' 1'',5.55,8.25,10.0,32.5,40.5,10.31,3.04,3.15,,grayson-allen
26,2017,1628386,Jarrett,Allen,Jarrett Allen,C,81.0,6' 9'',82.25,6' 10.25'',233.6,89.25,7' 5.25'',109.5,9' 1.5'',7.4,9.5,10.5,31.5,35.5,11.82,3.0,3.21,4.0,jarrett-allen
27,2017,1628443,Kadeem,Allen,Kadeem Allen,PG,73.0,6' 1'',74.25,6' 2.25'',192.4,81.25,6' 9.25'',99.5,8' 3.5'',6.4,8.5,8.75,33.0,35.5,11.24,2.98,3.15,7.0,kadeem-allen
28,2001,12033,Adam,Allenspach,Adam Allenspach,C,83.5,6' 11.5'',,,259.0,84.5,7' 0.5'',107.0,8' 11'',12.4,,,28.5,31.0,11.9,,3.4,16.0,adam-allenspach
29,2006,201165,Morris,Almond,Morris Almond,SG-SF,76.75,6' 4.75'',78.0,6' 6'',214.0,82.0,6' 10'',102.5,8' 6.5'',6.9,,,31.0,35.5,11.45,,3.19,13.0,morris-almond
30,2010,202329,Al-Farouq,Aminu,Al-Farouq Aminu,SF,79.25,6' 7.25'',80.5,6' 8.5'',216.0,87.25,7' 3.25'',108.5,9' 0.5'',8.2,9.5,9.5,27.0,33.5,11.29,,3.3,13.0,al-farouq-aminu
31,2006,200811,Lou,Amundson,Lou Amundson,PF,79.2,6' 7.2'',80.0,6' 8'',221.0,83.5,6' 11.5'',103.5,8' 7.5'',6.8,,,32.0,35.5,10.58,,3.2,14.0,lou-amundson
32,2003,200995,Aloysius,Anagonye,Aloysius Anagonye,PF,78.75,6' 6.75'',,,257.0,86.5,7' 2.5'',106.0,8' 10'',10.5,,,31.0,34.5,12.93,,3.3,6.0,aloysius-anagonye
33,2003,12072,Rick,Anderson,Rick Anderson,SF-PF,80.25,6' 8.25'',,,216.0,83.0,6' 11'',106.5,8' 10.5'',9.9,,,26.0,30.5,11.23,,3.4,6.0,rick-anderson
34,2005,101187,Alan,Anderson,Alan Anderson,SG-SF,76.5,6' 4.5'',78.0,6' 6'',223.2,81.5,6' 9.5'',104.0,8' 8'',,,,26.5,30.5,10.32,,3.27,10.0,alan-anderson
35,2006,202151,Rashad,Anderson,Rashad Anderson,SG,75.25,6' 3.25'',76.5,6' 4.5'',224.0,79.0,6' 7'',100.0,8' 4'',17.3,,,27.5,32.5,11.77,,3.48,13.0,rashad-anderson
36,2010,202341,James,Anderson,James Anderson,SF,76.75,6' 4.75'',77.75,6' 5.75'',207.6,80.5,6' 8.5'',104.0,8' 8'',7.9,8.5,7.25,30.0,35.5,11.86,,3.19,14.0,james-anderson
37,2014,203937,Kyle,Anderson,Kyle Anderson,SF,79.5,6' 7.5'',80.5,6' 8.5'',230.1,86.75,7' 2.75'',107.5,8' 11.5'',13.35,8.25,8.75,,,,,,,kyle-anderson
38,2015,1626147,Justin,Anderson,Justin Anderson,SF-SG,77.25,6' 5.25'',78.25,6' 6.25'',230.6,83.75,6' 11.75'',101.0,8' 5'',5.0,8.5,9.5,38.0,43.0,11.13,2.88,3.22,12.0,justin-anderson
39,2005,101149,Martynas,Andriuskevicius,Martynas Andriuskevicius,C-PF,85.25,7' 1.25'',87.0,7' 3'',227.8,83.25,6' 11.25'',112.5,9' 4.5'',,,,24.0,27.5,11.94,,3.42,0.0,martynas-andriuskevicius
40,2017,1628387,Ike,Anigbogu,Ike Anigbogu,C,80.5,6' 8.5'',81.75,6' 9.75'',252.2,90.25,7' 6.25'',110.5,9' 2.5'',5.4,9.5,10.0,29.5,32.5,12.52,3.48,3.44,11.0,ike-anigbogu
41,2018,1628961,Kostas,Antetokounmpo,Kostas Antetokounmpo,PF,81.0,6' 9'',82.5,6' 10.5'',194.8,86.25,7' 2.25'',110.0,9' 2'',5.0,9.25,9.5,29.5,35.0,12.48,3.48,3.21,0.0,kostas-antetokounmpo
42,2014,203648,Thanasis,Antetokounmpo,Thanasis Antetokounmpo,SF,77.25,6' 5.25'',78.25,6' 6.25'',205.2,84.0,7' 0'',104.5,8' 8.5'',6.05,9.0,9.75,31.5,39.5,11.39,3.05,3.18,,thanasis-antetokounmpo
43,2003,2546,Carmelo,Anthony,Carmelo Anthony,SF,78.25,6' 6.25'',,,233.0,84.0,7' 0'',105.5,8' 9.5'',8.0,,,30.5,33.5,11.4,,3.15,7.0,carmelo-anthony
44,2017,1628384,OG,Anunoby,OG Anunoby,SF,78.25,6' 6.25'',79.75,6' 7.75'',232.4,86.25,7' 2.25'',107.5,8' 11.5'',6.8,9.25,9.5,,,,,,,og-anunoby
45,2000,12019,Harold,Arceneaux,Harold Arceneaux,SG-SF,76.5,6' 4.5'',,,219.0,80.5,6' 8.5'',103.0,8' 7'',,,,,29.0,13.8,,,0.0,harold-arceneaux
46,2002,2425,Robert,Archibald,Robert Archibald,PF-C,82.0,6' 10'',,,250.0,83.75,6' 11.75'',109.5,9' 1.5'',,,,24.0,27.5,11.34,,3.33,10.0,robert-archibald
47,2001,2240,Gilbert,Arenas,Gilbert Arenas,SG,74.25,6' 2.25'',,,199.0,81.5,6' 9.5'',99.5,8' 3.5'',5.3,,,31.5,36.0,,,3.25,12.0,gilbert-arenas
48,2004,2772,Trevor,Ariza,Trevor Ariza,SG-SF,79.0,6' 7'',80.25,6' 8.25'',201.0,86.0,7' 2'',107.5,8' 11.5'',8.0,,,29.5,32.0,11.63,,3.29,8.0,trevor-ariza
49,2001,2220,Brandon,Armstrong,Brandon Armstrong,SG,75.5,6' 3.5'',,,188.0,81.5,6' 9.5'',99.5,8' 3.5'',9.3,,,30.0,37.0,10.91,,3.2,6.0,brandon-armstrong
50,2006,200756,Hilton,Armstrong,Hilton Armstrong,C-PF,81.5,6' 9.5'',82.25,6' 10.25'',240.0,88.0,7' 4'',109.0,9' 1'',6.3,,,28.5,31.5,12.28,,3.53,13.0,hilton-armstrong
51,2008,201589,Darrell,Arthur,Darrell Arthur,PF,79.5,6' 7.5'',80.5,6' 8.5'',216.0,82.75,6' 10.75'',107.0,8' 11'',7.3,,,28.5,30.0,12.18,,3.14,12.0,darrell-arthur
52,2017,1628503,Jamel,Artis,Jamel Artis,SG-SF,77.5,6' 5.5'',78.75,6' 6.75'',213.2,82.0,6' 10'',105.0,8' 9'',11.9,9.25,9.75,23.5,31.0,11.62,3.08,3.44,5.0,jamel-artis
53,2015,1626165,Brandon,Ashley,Brandon Ashley,PF,79.25,6' 7.25'',80.5,6' 8.5'',228.0,87.75,7' 3.75'',105.0,8' 9'',8.8,9.0,9.5,31.5,35.5,11.21,3.35,3.58,9.0,brandon-ashley
54,2008,201571,D.J.,Augustin,D.J. Augustin,PG,70.0,5' 10'',71.5,5' 11.5'',171.5,75.5,6' 3.5'',94.5,7' 10.5'',8.1,,,28.5,35.0,11.27,,3.07,2.0,dj-augustin
55,2006,200788,James,Augustine,James Augustine,PF,80.25,6' 8.25'',81.75,6' 9.75'',227.0,84.25,7' 0.25'',104.0,8' 8'',5.5,,,30.0,32.5,10.54,,3.25,13.0,james-augustine
56,2009,201965,Jeff,Ayres,Jeff Ayres,PF,80.75,6' 8.75'',82.0,6' 10'',239.6,85.0,7' 1'',107.0,8' 11'',5.5,,,31.0,35.0,11.98,,3.14,15.0,jeff-ayres
57,2018,1628962,Udoka,Azubuike,Udoka Azubuike,C,82.0,6' 10'',84.25,7' 0.25'',273.8,91.0,7' 7'',112.5,9' 4.5'',7.95,9.5,10.0,31.0,31.5,12.97,3.65,3.12,11.0,udoka-azubuike
58,2020,1628962,Udoka,Azubuike,Udoka Azubuike,C,82.0,6'10.00'',83.5,6'11.50'',259.5,91.25,7'7.25'',109.0,9'1.00'',9.61,9.25,10.0,37.0,41.0,11.82,3.61,3.23,,udoka-azubuike
59,2010,202337,Luke,Babbitt,Luke Babbitt,SF-PF,79.5,6' 7.5'',80.75,6' 8.75'',217.8,83.25,6' 11.25'',104.5,8' 8.5'',5.6,8.5,10.0,29.5,37.5,10.98,,3.4,15.0,luke-babbitt
60,2014,203947,Jordan,Bachynski,Jordan Bachynski,PF,85.25,7' 1.25'',86.0,7' 2'',254.1,88.0,7' 4'',108.5,9' 0.5'',7.45,9.25,10.0,29.0,33.0,12.15,3.03,3.36,,jordan-bachynski
61,2017,1628407,Dwayne,Bacon,Dwayne Bacon,SG-SF,76.75,6' 4.75'',78.25,6' 6.25'',221.6,82.0,6' 10'',103.5,8' 7.5'',7.9,8.75,10.0,30.0,36.5,11.7,3.22,3.22,8.0,dwayne-bacon
62,2014,203946,Cameron,Bairstow,Cameron Bairstow,PF,80.75,6' 8.75'',81.75,6' 9.75'',252.4,84.75,7' 0.75'',107.0,8' 11'',8.7,8.75,9.0,31.0,33.5,11.39,3.09,3.37,,cameron-bairstow
63,2002,2486,Maurice,Baker,Maurice Baker,PG,71.75,5' 11.75'',,,178.0,76.0,6' 4'',96.0,8' 0'',,,,29.5,33.0,12.19,,3.29,2.0,maurice-baker
64,2016,1627758,Ron,Baker,Ron Baker,SG,75.25,6' 3.25'',76.25,6' 4.25'',212.4,81.75,6' 9.75'',97.5,8' 1.5'',7.85,8.75,9.5,30.0,35.5,10.77,2.96,3.45,,ron-baker
65,2016,1627735,Wade,Baldwin IV,Wade Baldwin IV,PG,74.5,6' 2.5'',76.0,6' 4'',201.8,83.25,6' 11.25'',100.0,8' 4'',5.2,9.0,9.75,32.5,38.0,10.45,3.01,3.19,,wade-baldwin-iv
66,2006,200764,Renaldo,Balkman,Renaldo Balkman,SF-PF,77.25,6' 5.25'',78.5,6' 6.5'',206.0,85.0,7' 1'',104.5,8' 8.5'',4.9,,,30.5,35.0,11.58,,3.22,9.0,renaldo-balkman
67,2018,1628964,Mohamed,Bamba,Mohamed Bamba,C,83.25,6' 11.25'',84.75,7' 0.75'',225.6,94.0,7' 10'',115.5,9' 7.5'',6.2,9.75,10.25,,,,,,,mohamed-bamba
68,2005,101252,Sean,Banks,Sean Banks,SF,77.75,6' 5.75'',79.0,6' 7'',206.4,85.0,7' 1'',108.0,9' 0'',,,,25.0,31.5,11.74,,3.35,7.0,sean-banks
69,2016,1627760,Cat,Barber,Cat Barber,PG,73.5,6' 1.5'',74.75,6' 2.75'',173.0,77.5,6' 5.5'',95.5,7' 11.5'',4.5,8.0,8.5,,,,,,,cat-barber
70,2018,1628965,Jaylen,Barford,Jaylen Barford,PG-SG,73.25,6' 1.25'',74.25,6' 2.25'',207.6,75.5,6' 3.5'',96.5,8' 0.5'',11.65,8.0,8.25,27.0,33.0,11.39,3.21,3.31,7.0,jaylen-barford
71,2000,12020,Lamont,Barnes,Lamont Barnes,PF-C,80.5,6' 8.5'',,,235.5,87.5,7' 3.5'',108.0,9' 0'',,,,28.0,29.5,12.3,,3.4,10.0,lamont-barnes
72,2002,2440,Matt,Barnes,Matt Barnes,SF,78.75,6' 6.75'',,,226.0,81.0,6' 9'',96.5,8' 0.5'',,,,35.5,40.5,10.68,,3.28,11.0,matt-barnes
73,2012,203084,Harrison,Barnes,Harrison Barnes,SF-SG,79.0,6' 7'',80.0,6' 8'',227.8,83.25,6' 11.25'',101.5,8' 5.5'',9.6,9.0,8.5,38.0,39.5,10.93,,3.16,15.0,harrison-barnes
74,2004,2857,Andre,Barrett,Andre Barrett,PG,68.75,5' 8.75'',69.75,5' 9.75'',171.0,73.0,6' 1'',92.0,7' 8'',6.7,,,29.0,34.5,10.63,,3.08,13.0,andre-barrett
76,2002,12286,Lubos,Barton,Lubos Barton,SF-SG,78.5,6' 6.5'',,,221.0,84.0,7' 0'',107.0,8' 11'',,,,25.5,31.5,11.2,,3.31,14.0,lubos-barton
77,2012,203115,Will,Barton,Will Barton,SG-SF,77.0,6' 5'',78.0,6' 6'',174.4,81.75,6' 9.75'',102.5,8' 6.5'',4.1,9.0,9.5,30.0,34.0,12.5,,3.6,0.0,will-barton
78,2005,101188,Eddie,Basden,Eddie Basden,SG-SF,76.25,6' 4.25'',77.5,6' 5.5'',210.0,82.25,6' 10.25'',101.0,8' 5'',,,,33.0,36.5,10.52,,3.21,14.0,eddie-basden
79,2004,101138,Brandon,Bass,Brandon Bass,PF,78.25,6' 6.25'',79.25,6' 7.25'',246.0,86.5,7' 2.5'',106.5,8' 10.5'',9.3,,,31.5,33.0,11.61,,3.24,18.0,brandon-bass
80,2019,1629646,Charles,Bassey,Charles Bassey,C,80.75,6' 8.75'',82.0,6' 10'',239.0,87.5,7' 3.5'',109.5,9' 1.5'',8.5,9.25,9.5,29.0,33.0,12.65,3.27,3.53,7.0,charles-bassey
81,2018,1628966,Keita,Bates-Diop,Keita Bates-Diop,SG-SF,79.25,6' 7.25'',80.5,6' 8.5'',223.8,87.25,7' 3.25'',106.5,8' 10.5'',5.35,9.0,8.5,30.5,35.0,11.2,3.28,3.17,11.0,keita-bates-diop
82,2006,12124,J.P.,Batista,J.P. Batista,PF,79.5,6' 7.5'',80.5,6' 8.5'',265.0,82.0,6' 10'',103.5,8' 7.5'',12.0,,,26.0,30.5,11.62,,3.38,26.0,jp-batista
83,2001,2203,Shane,Battier,Shane Battier,SF-PF,80.25,6' 8.25'',,,229.0,82.5,6' 10.5'',105.0,8' 9'',9.3,,,29.5,33.0,10.95,,3.3,12.0,shane-battier
84,2018,1628967,Tyus,Battle,Tyus Battle,SG,77.0,6' 5'',78.75,6' 6.75'',200.2,81.0,6' 9'',102.0,8' 6'',4.0,8.5,9.25,32.0,37.5,11.04,2.87,3.07,9.0,tyus-battle
85,2002,2437,Lonny,Baxter,Lonny Baxter,PF-C,78.25,6' 6.25'',,,264.0,85.5,7' 1.5'',107.5,8' 11.5'',,,,28.0,32.5,11.77,,3.21,14.0,lonny-baxter
86,2008,201573,Jerryd,Bayless,Jerryd Bayless,PG-SG,73.75,6' 1.75'',75.0,6' 3'',204.0,75.5,6' 3.5'',97.0,8' 1'',4.7,,,31.0,38.0,11.26,,3.07,10.0,jerryd-bayless
87,2019,1629647,Darius,Bazley,Darius Bazley,PF,79.75,6' 7.75'',81.0,6' 9'',208.4,84.0,7' 0'',107.0,8' 11'',3.6,9.0,9.75,30.5,37.0,11.09,2.95,3.27,4.0,darius-bazley
88,2017,1628431,V.J.,Beachem,V.J. Beachem,SG-SF,78.25,6' 6.25'',80.0,6' 8'',193.4,82.25,6' 10.25'',104.5,8' 8.5'',6.8,8.5,9.0,30.0,37.0,11.18,3.19,3.26,11.0,vj-beachem
89,2012,203078,Bradley,Beal,Bradley Beal,SG,75.25,6' 3.25'',76.75,6' 4.75'',201.8,80.0,6' 8'',100.0,8' 4'',6.0,8.5,9.0,33.0,39.0,10.95,,3.28,8.0,bradley-beal
90,2003,2602,Jerome,Beasley,Jerome Beasley,SF-PF,81.0,6' 9'',,,237.0,84.5,7' 0.5'',107.0,8' 11'',9.9,,,27.0,32.0,11.36,,3.25,10.0,jerome-beasley
91,2008,201563,Michael,Beasley,Michael Beasley,PF-SF,79.0,6' 7'',80.25,6' 8.25'',239.0,84.25,7' 0.25'',107.0,8' 11'',7.7,,,30.0,35.0,11.06,,3.24,19.0,michael-beasley
92,2016,1627736,Malik,Beasley,Malik Beasley,SG,75.5,6' 3.5'',76.5,6' 4.5'',189.8,79.0,6' 7'',100.5,8' 4.5'',6.9,8.5,9.0,,,,0.0,,,malik-beasley
93,2009,201958,Rodrigue,Beaubois,Rodrigue Beaubois,PG,73.25,6' 1.25'',74.25,6' 2.25'',182.4,81.75,6' 9.75'',100.0,8' 4'',7.9,,,29.5,39.0,10.49,,3.15,3.0,rodrigue-beaubois
94,2001,12034,Cookie,Belcher,Cookie Belcher,SG-PG,75.0,6' 3'',,,206.0,80.5,6' 8.5'',99.0,8' 3'',5.3,,,35.0,41.5,11.26,,2.91,7.0,cookie-belcher
95,2001,2294,Charlie,Bell,Charlie Bell,PG,74.5,6' 2.5'',,,200.0,79.5,6' 7.5'',97.5,8' 1.5'',6.7,,,31.5,38.0,10.59,,3.12,15.0,charlie-bell
96,2003,2559,Troy,Bell,Troy Bell,PG,72.25,6' 0.25'',,,178.0,77.0,6' 5'',97.5,8' 1.5'',5.3,,,34.5,41.0,10.89,,3.06,17.0,troy-bell
97,2005,12105,Mike,Bell,Mike Bell,SF-PF,80.75,6' 8.75'',81.25,6' 9.25'',206.2,85.5,7' 1.5'',104.5,8' 8.5'',,,,33.5,39.5,11.73,,3.29,13.0,mike-bell
98,2017,1628395,Jordan,Bell,Jordan Bell,PF,79.0,6' 7'',80.5,6' 8.5'',223.6,83.75,6' 11.75'',104.5,8' 8.5'',5.4,9.25,9.5,31.5,38.0,10.63,2.83,3.21,16.0,jordan-bell
99,2016,1627761,DeAndre,Bembry,DeAndre Bembry,SG-SF,76.25,6' 4.25'',77.75,6' 5.75'',206.6,81.25,6' 9.25'',101.0,8' 5'',7.0,8.0,9.25,32.0,38.0,10.9,2.87,3.17,,deandre-bembry
100,2002,12287,Lee,Benson,Lee Benson,SF-PF,80.25,6' 8.25'',,,217.0,85.75,7' 1.75'',109.0,9' 1'',,,,27.5,32.5,11.44,,3.29,14.0,lee-benson
101,2011,202728,Keith,Benson,Keith Benson,C-PF,82.0,6' 10'',83.0,6' 11'',217.0,87.75,7' 3.75'',109.5,9' 1.5'',6.1,9.5,11.0,31.5,36.0,11.88,,3.35,12.0,keith-benson
102,2016,1627791,Ben,Bentil,Ben Bentil,PF,79.25,6' 7.25'',80.25,6' 8.25'',229.2,85.5,7' 1.5'',105.0,8' 9'',9.7,9.5,10.0,29.0,33.0,11.16,3.1,3.3,,ben-bentil
103,2020,1630189,Tyler,Bey,Tyler Bey,PF,78.0,6'6.00'',79.0,6'7.00'',212.8,85.25,7'1.25'',105.5,8'9.50'',5.0,8.5,9.0,37.0,43.5,11.35,2.75,3.17,,tyler-bey
105,2014,203920,Khem,Birch,Khem Birch,PF,79.5,6' 7.5'',81.25,6' 9.25'',208.8,85.0,7' 1'',107.0,8' 11'',6.0,9.0,8.5,30.5,35.5,11.6,3.24,3.26,,khem-birch
106,2009,201971,DeJuan,Blair,DeJuan Blair,PF,77.25,6' 5.25'',78.5,6' 6.5'',276.6,86.0,7' 2'',106.5,8' 10.5'',12.0,,,26.0,33.0,11.5,,3.45,18.0,dejuan-blair
107,2006,200807,Will,Blalock,Will Blalock,PG,71.25,5' 11.25'',72.5,6' 0.5'',194.0,78.0,6' 6'',96.5,8' 0.5'',7.2,,,35.0,40.0,11.08,,3.18,8.0,will-blalock
108,2003,12073,LaVell,Blanchard,LaVell Blanchard,SF,78.0,6' 6'',,,205.0,78.0,6' 6'',101.5,8' 5.5'',11.7,,,33.5,36.5,11.64,,3.38,12.0,lavell-blanchard
109,2000,12131,Mario,Bland,Mario Bland,PF,77.5,6' 5.5'',,,287.0,84.0,7' 0'',103.0,8' 7'',,,,27.0,31.0,13.04,,3.47,15.0,mario-bland
110,2010,202339,Eric,Bledsoe,Eric Bledsoe,PG,72.25,6' 0.25'',73.5,6' 1.5'',191.6,79.5,6' 7.5'',98.0,8' 2'',5.6,8.5,9.75,,,,,,9.0,eric-bledsoe
111,2016,1628417,Jaron,Blossomgame,Jaron Blossomgame,SF,78.25,6' 6.25'',79.25,6' 7.25'',213.6,82.0,6' 10'',102.0,8' 6'',5.25,8.5,10.0,35.0,41.0,11.53,3.26,3.2,,jaron-blossomgame
112,2017,1628417,Jaron,Blossomgame,Jaron Blossomgame,SF,77.75,6' 5.75'',78.75,6' 6.75'',218.6,82.0,6' 10'',104.5,8' 8.5'',5.7,8.75,10.25,31.0,35.5,11.47,3.35,3.17,16.0,jaron-blossomgame
113,2013,203505,Vander,Blue,Vander Blue,SG,75.5,6' 3.5'',77.25,6' 5.25'',197.4,78.0,6' 6'',100.5,8' 4.5'',4.6,8.5,9.5,28.0,37.5,10.4,2.7,3.14,4.0,vander-blue
114,2015,1626207,Ryan,Boatright,Ryan Boatright,PG,70.0,5' 10'',71.0,5' 11'',169.6,72.5,6' 0.5'',92.5,7' 8.5'',6.6,7.5,8.75,32.0,41.0,10.71,3.05,3.26,10.0,ryan-boatright
115,2004,2800,Tony,Bobbitt,Tony Bobbitt,SG,74.75,6' 2.75'',76.0,6' 4'',185.0,79.0,6' 7'',100.0,8' 4'',7.3,,,,,,,,1.0,tony-bobbitt
116,2004,12173,Brian,Boddicker,Brian Boddicker,SF-PF,79.5,6' 7.5'',80.75,6' 8.75'',230.0,82.0,6' 10'',105.5,8' 9.5'',11.2,,,28.0,30.0,10.93,,3.25,16.0,brian-boddicker
117,2003,2586,Keith,Bogans,Keith Bogans,SG,76.25,6' 4.25'',,,213.0,81.25,6' 9.25'',101.0,8' 5'',8.0,,,29.5,35.0,11.43,,3.25,10.0,keith-bogans
118,2007,12205,Mario,Boggan,Mario Boggan,PF,77.0,6' 5'',79.0,6' 7'',240.0,86.0,7' 2'',107.0,8' 11'',9.2,,,24.0,26.5,12.18,,3.45,12.0,mario-boggan
119,2005,101106,Andrew,Bogut,Andrew Bogut,C-PF,83.0,6' 11'',84.25,7' 0.25'',250.6,87.0,7' 3'',110.5,9' 2.5'',,,,27.5,33.5,12.06,,3.51,13.0,andrew-bogut
120,2019,1629626,Bol,Bol,Bol Bol,C,84.75,7' 0.75'',86.5,7' 2.5'',208.0,91.0,7' 7'',115.5,9' 7.5'',7.1,9.25,9.5,,,,,,,bol-bol
121,2016,1627762,Joel,Bolomboy,Joel Bolomboy,PF,79.5,6' 7.5'',81.0,6' 9'',224.4,85.75,7' 1.75'',103.5,8' 7.5'',5.15,9.0,10.25,37.5,40.5,10.26,2.86,3.17,,joel-bolomboy
