,Unnamed: 0,SEASON,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,NORMALIZED_PLAYER_NAME,season,name,pid,team,g,min,dunks,poss,stl,blk,orb,drb
369,637,2008,12256,Shawn,James,Shawn James,PF,79.75,6' 7.75'',81.0,6' 9'',217.0,89.0,7' 5'',111.0,9' 3'',9.2,,,,,,,,6.0,shawn-james,2008,shawn-james,23274,Duquesne,14,351,3.22,652,0.92,13.18,12.04,22.29
370,638,2010,202345,Damion,James,Damion James,SF,78.25,6' 6.25'',79.75,6' 7.75'',226.6,84.75,7' 0.75'',107.0,8' 11'',9.6,9.25,8.5,29.0,33.0,10.89,,3.2,13.0,damion-james,2010,damion-james,31581,Texas,33,994,1.45,1864,2.9,3.62,12.58,27.07
371,639,2012,203108,Bernard,James,Bernard James,PF,80.75,6' 8.75'',82.0,6' 10'',229.8,87.0,7' 3'',108.5,9' 0.5'',5.0,9.0,9.25,30.0,32.5,11.84,,3.4,6.0,bernard-james,2012,bernard-james,51353,Florida State,13,348,2.83,599,1.67,9.71,14.54,25.49
372,643,2008,12257,Davon,Jefferson,Davon Jefferson,SF,77.25,6' 5.25'',78.5,6' 6.5'',213.0,81.5,6' 9.5'',105.0,8' 9'',12.0,,,27.0,32.0,12.02,,3.36,2.0,davon-jefferson,2008,davon-jefferson,36055,USC,20,560,3.12,898,2.0,4.03,11.79,17.29
373,644,2014,203928,Cory,Jefferson,Cory Jefferson,PF,79.75,6' 7.75'',81.0,6' 9'',218.4,84.5,7' 0.5'',105.0,8' 9'',5.25,8.75,9.75,33.0,37.5,12.63,3.39,3.36,,cory-jefferson,2014,cory-jefferson,45990,Baylor,31,898,3.85,1454,0.82,4.94,12.93,23.5
374,646,2019,1629610,DaQuan,Jeffries,DaQuan Jeffries,SF-PF,76.0,6' 4'',77.0,6' 5'',215.6,83.25,6' 11.25'',104.0,8' 8'',3.9,9.5,10.25,,,,,,,daquan-jeffries,2019,daquan-jeffries,4278406,Tulsa,30,837,1.36,1467,2.04,5.2,6.2,17.67
375,648,2011,202724,Charles,Jenkins,Charles Jenkins,PG-SG,73.5,6' 1.5'',75.25,6' 3.25'',216.4,79.5,6' 7.5'',96.5,8' 0.5'',4.3,8.5,9.0,29.5,34.0,11.68,,3.18,16.0,charles-jenkins,2011,charles-jenkins,31911,Hofstra,28,1045,0.0,1700,2.53,1.72,1.76,9.54
376,649,2012,203098,John,Jenkins,John Jenkins,SG,75.25,6' 3.25'',76.25,6' 4.25'',212.0,80.5,6' 8.5'',98.0,8' 2'',7.1,9.0,9.0,30.5,36.5,11.36,,3.37,10.0,john-jenkins,2012,john-jenkins,45892,Vanderbilt,15,503,0.12,836,1.44,1.19,2.33,9.48
377,651,2019,1629660,Ty,Jerome,Ty Jerome,PG,76.25,6' 4.25'',77.5,6' 5.5'',194.4,76.0,6' 4'',98.0,8' 2'',6.5,8.25,9.5,26.0,31.5,11.21,3.12,3.4,2.0,ty-jerome,2019,ty-jerome,4065733,Virginia,30,990,0.0,1524,3.02,0.0,1.95,13.86
378,652,2013,203511,Grant,Jerrett,Grant Jerrett,PF,80.75,6' 8.75'',82.25,6' 10.25'',232.0,86.0,7' 2'',109.0,9' 1'',10.05,8.5,9.25,28.5,34.0,11.85,3.23,3.51,2.0,grant-jerrett,2013,grant-jerrett,61550,Arizona,5,97,0.62,161,2.47,4.21,10.54,20.35
379,653,2020,1630198,Isaiah,Joe,Isaiah Joe,SG,75.0,6'3.00'',76.5,6'4.50'',170.4,79.5,6'7.50'',101.0,8'5.00'',4.7,8.25,8.25,,,,,,,isaiah-joe,2020,isaiah-joe,4395702,Arkansas,24,863,0.19,1555,2.19,0.74,2.07,11.73
380,660,2007,201234,Trey,Johnson,Trey Johnson,SG,75.0,6' 3'',77.75,6' 5.75'',216.0,77.0,6' 5'',98.0,8' 2'',5.4,,,26.5,35.0,11.78,,3.31,18.0,trey-johnson,2007,trey-johnson,27570,Jackson State,3,112,0.0,212,1.41,0.0,5.69,6.94
381,661,2009,201949,James,Johnson,James Johnson,SF-PF,79.0,6' 7'',79.75,6' 7.75'',257.2,84.75,7' 0.75'',105.5,8' 9.5'',12.0,,,30.5,35.0,11.21,,3.23,18.0,james-johnson,2009,james-johnson,36120,Wake Forest,27,821,1.74,1556,2.31,5.02,10.53,21.56
382,661,2009,201949,James,Johnson,James Johnson,SF-PF,79.0,6' 7'',79.75,6' 7.75'',257.2,84.75,7' 0.75'',105.5,8' 9.5'',12.0,,,30.5,35.0,11.21,,3.23,18.0,james-johnson,2009,james-johnson,42097,Quinnipiac,21,699,0.0,1162,3.18,0.31,2.63,11.42
383,662,2010,202325,Wesley,Johnson,Wesley Johnson,SF,78.25,6' 6.25'',79.25,6' 7.25'',206.4,85.0,7' 1'',106.0,8' 10'',4.6,9.0,9.5,32.0,37.0,11.43,,3.14,16.0,wesley-johnson,2010,wesley-johnson,31587,Syracuse,31,1071,2.08,1925,2.7,5.91,8.03,20.03
384,663,2010,202356,Armon,Johnson,Armon Johnson,PG-SG,74.0,6' 2'',75.25,6' 3.25'',195.2,80.0,6' 8'',99.5,8' 3.5'',5.6,8.25,9.25,31.5,38.5,11.25,,3.19,18.0,armon-johnson,2010,armon-johnson,36326,Nevada,24,837,0.33,1494,1.34,0.93,3.34,8.47
385,664,2011,202707,JaJuan,Johnson,JaJuan Johnson,PF,81.0,6' 9'',82.0,6' 10'',219.8,86.0,7' 2'',107.5,8' 11.5'',7.5,9.0,10.0,33.5,38.0,11.21,,3.14,15.0,jajuan-johnson,2011,jajuan-johnson,36150,Purdue,22,810,1.51,1320,1.82,5.78,7.21,21.23
386,665,2012,203111,Orlando,Johnson,Orlando Johnson,SG,75.75,6' 3.75'',77.25,6' 5.25'',223.8,83.25,6' 11.25'',99.0,8' 3'',7.0,9.0,9.5,32.0,39.5,10.98,,3.25,13.0,orlando-johnson,2012,orlando-johnson,37470,UC Santa Barbara,17,601,0.3,999,1.8,2.65,4.13,16.02
